title,description,image,season,category,link,date
Macaron Ispahan Rose Litchi,Le mythique inspiré de la recette de Pierre Hermé.,recipes/macaron_ispahan/img.png,été,Macaron,recipes/macaron_ispahan/recette.html,2025-06-22
Tarte aux Fruits,Coming Soon.,recipes/tarte_fruits/img.png,été,Tarte,recipes/tarte_fruits/recette.html,2025-06-18
Praliné Noisettes,Mon délicieux praliné aux noisettes d'Oregon.,recipes/praline/img.jpeg,automne,Recette de base,recipes/praline/recette.html,2025-07-02
Fraisier Chantilly Vanille,"Ma version du populaire ""Strawberry Soft Cream Cake"" américain",recipes/strawberry_soft_cream/img.jpg,été,Fraisier,recipes/strawberry_soft_cream/recette.html,2025-07-07
